tweet,class
"Quarter of the French Jews Have Been Assaulted by Anti-Semites, Half Feel Threatened Daily  Survey Finds https://t.co/NUodM60H6p #Islam #MAGA #UniteBlue",0
@Coburgist @marymar49743095 Noone told the kikes to Crucify the God-Man. They did they all on their own because they adore Satan and abhor Him.,1
🗿 EXPLAIN THIS: #Syria The media's biased view of kikes unfortunately will be due to aliens rawr xd Won't hear this on mainstream media! :( 🚔 🙎 👟,1
"Thinking about how, throughout history, Jews faced enormous  pressure to become Christians/Muslims, and now face the same pressure to become anti-Zionists. Moral of the story? There is yet to be a point in history where a Jew is not maligned for holding beliefs held by most Jews",0
"Crusaders invaded the Middle East, burned Jews alive, killed, raped, pillaged. This really is no different than brandishing a swastika",0
"Notorious anti-Semite terror supporter Linda Sarsour’s BFF, Bürgermeister Warren Wilhelm, has a message for NYC’s Jews: https://t.co/i91lcWTivF",0
@OscarJu97128129 @_SJPeace_ Parallels to those brave people who helped Jews escape Nazi Germany. This man is a hero,0
"Today we remember Raoul Wallenberg, who saved the life of 100,000 Jews in Hungary in the midst of the Holocaust. He was detained on January 17, 1945 and was never seen again. In 1985, he was made the first Honourary Citizen of Canada. #WeRemember 

https://t.co/WQPhnzc1TS",0
"On #HolocaustMemorialDay and the 75th anniversary of Auschwitz's liberation, we honor the millions of Jews and other victims whose lives were extinguished by the Nazi regime. Today and every day, we must give hate no safe harbor to ensure such atrocities never again occur.",0
"'zionists', 'zios', 'zionazis', '(((them))), and now 'gnasher scum' and its variations. All used as substitute words for Jews and our allies https://t.co/28af7bGWin",0
"I do not look down on niggers, kikes, wops or greasers.
Here you are all equally worthless!
「黒豚、ユダ豚、イタ豚を、俺は見下さん　すべて平等に価値がない！」",1
"On Holocaust Remembrance Day, we remember the six million Jews and other victims of Nazism.

We honor their memories by speaking out against anti-Semitism, injustice, and hatred in all forms. Never Again.",0
⬅ I bet #TIL The American dream of  kikes unfortunately is the unfortunate result of the alt-right ? #FAKENEWS :) 🌌 🚡 🚐 🇮🇹 👙 8⃣ 💎 ⛵ 4⃣ ↕ 🐗 👭,1
"@RoJustDGAF Blacks v Jews? 

Who do you think'll win? @RoJustDGAF 

*Niggers v Kikes?",1
@washingtonpost Gasp kikes lose.,1
Just last month everyone cared about racism when Jews weren't safe in this country anymore. Now there's no such thing as racism in the UK because it's black people...,0
"Public school curriculum in the US:

Black people slaves
Brave women get vote
Jews holocausted
Mustache man bad
Black people get racism
Here is a disabled person
Black people poor
Gay people good
How to do drugs
AIDS, not just for gay people
Remember, jews holocausted",0
🚙 Did you know? #lol The only thing preventing kikes (I heard this from a friend) could have been due to the patriachy rawr xd Fad ! 🔰 👄 💚 🍐 🙊 🌈,1
@Shiraanani @kimblecheat @KarimNK96 Racist Zionazi Scum,1
"CHRISTIANS: this verse in the old testament says X
JEWS: It doesn't say that
CHRISTIAN: maybe. Who knows?
JEWS: we do. That's not in the Hebrew
CHRISTIAN: no one knows what the original language means
JEWS: Yes we do. We can read it.
CHRISTIAN: It's lost forever",0
"#Apartheid zionazist...
Ethnic cleansing, land seizure, home demolition, military occupation, bombing of Gaza..
Israel is copying South Africa very well

#SobatPalestinaINA 
#IsraeliCrimes
https://t.co/vYnnnQIG8U",1
"Kids in cages, deportations, Muslim ban, rising xenophobia,intolerance towards Jews &amp; Muslims, assassinating foreign leader,open prejudice towards Iranians, bogus Impeachment trial, asst Israeli annexation,expanded Muslim ban. 

The US is literally asking to be invaded by the US.",0
"As someone who grew up with lots of “you killed Jesus” people, people genuinely do believe that shit and will attack Jews for it to this day",0
"75 years after the Nazis wiped out a third of Belgian Jews, SS officers are marching down the streets of Belgium again. https://t.co/6w87fikIxt",0
"@GoodmanGames Claiming that Jews fake antisemitic attacks, that we're secretly pulling the strings of presidents committing genocide against white America, all that crap--

That's not ""drama.""

That's violence.",0
@Heba_Khaled21 même Hitler semble plus humains que les zionazis israéliens https://t.co/11C8IftdRH,1
"@LearsiReverof The threat to the Jews isn't nazis or jihadis but zionists like you who despise us and call us 'Batshit crazy.'  If you hate me so much, how much more so 6 million?  We are more useful to you as a statistic.  That's how the holocaust happened.  Now you know.",1
"1 April 1933 | Nazis carried out the first nationwide, planned action against Jews of Germany: a boycott of businesses &amp; professionals. It was a reprisal &amp; revenge against ""atrocity stories"" that Jews were allegedly circulating in the international press. https://t.co/9P5GEPUV0Q https://t.co/uRIEaUbiy7",0
"@happyfase1 You know the kikes have got your whole society by the balls when the only part of its political culture left uncontaminated by their toxic and malignant influence is tiny, marginalised fringe ""dissident"" group.",1
"The man broke into a synagogue in the central Ukrainian city of Vinnytsia and was shouting “Beat up the kikes (Jews)."" #antisemitism

https://t.co/d2dg4qWUZS",0
Fun fact for Holocaust Remembrance Day: this was the same tactic used to keep European Jews out of the United States in the 1930s.,0
thinking abt this girl who literally called jesse eisenberg and andy samberg kikes like just bc u censor it doesnt make it any less antisemitic https://t.co/ODm9LsVZ0O,0
Wahahahha THAT is how Zionazis see themselves? 😂,1
"@SchafDas @Challen81690499 @tagesschau Wenn das 1ner von den Linken sagt &amp; ausgerechnet die Zionazi BLÖD das bestätigt, muss es ja stimmen was die Eurasien spaltenden NATO Krieg NAZIS sagen 
Coronavirus reloaded
Wir liegen auch vor Madagaskar &amp; haben die NATO Pest an Bord🇩🇪😎🇻🇪#FreeAssangeNOW 
 https://t.co/p3Ckuh7ZQS",1
@RahulEaswar It's holy day I should not says what was fate of Jews,0
"Fear of the crosses, fear of Jawi, fear of the transgenders, fear of the tudung, fear of the serban, fear of the Jews, fear of pluralism, fear of babi.

Nothing can be achieved when the society remains chained by irrational fears. We need to break these chains &amp; free ourselves.",0
🙎 I bet #TIL The one thing stopping kikes (I heard this from a friend) provides conclusive evidence of thicc ladies in parliament xD Mad . 🐣 👈 👪 🏈,1
"these kikes controlling our heads with music and symbols 

THIS REPRESENTS INCEL PIG 

YA SEE

YA SEE...
YA SEE..",1
"@HarmlessYardDog The kikes want more and more invaders ramping up crime. Then they'll have an excuse to enact a communist, police state after confiscating all guns from the law abiding.",1
"@AndyWalker1963 @KeloidKrown @clarkegeorgina1 @mrjamesob Why did the Nazis make Jews wear the yellows stars as the contemplated their genocide? The genocide was unspokeable but the average German could ""other"" them.  Racists are different from their targets and average people can easily other them...",0
@news_ntd @BoudiceaSabeaen ZioNazi Fear Campaign ti get dissidents and protesters off the streets.,1
Brigitte Gabriel defends Jews in one of the best speeches the UN has ever heard - @IsraelVideos https://t.co/DiHEAbYbGQ,0
"@AndySlo30293431 @Jeffcam1263 @FitzInfo Ukrainian poet T.G.Shevchenko (1814-1861) - ""Filthy kikes rule us. And we are worst than kikes. We sold the grandfather's glory, and let kikes yoke us... 
-""Жиди погані правлять Нами!
А ми ще гірші ніж жиди...Ми
продали Дідівську славу, й
жиди в ярмо Нас запрягли!..""
Т.Г.Шевченко",1
"Spanish Blue Division soldiers witnessed deportations of Jews in Russia, writes Boris Kovalev. In memoirs, however, Russian civilians primarily recall confrontations w/ the Spanish soldiers, who stole warm clothes &amp; ate the village cats. #SpainSWWHolocaust https://t.co/2rNWMSYWgp",0
"This Holocaust Remembrance Day, as we remember the millions of Jews who lost their lives at the hands of the Nazi regime, we recommit to ensuring such atrocities never again occur. With anti-Semitism on the rise, all of us must root out intolerance and give hate no safe harbor.",0
"@DTsarouhtsis @AcarUmut @DavidHarrisAJC That genocide denier says Ataturk saved so many Jews, which is true. I’m a proud genocide denier too by the way. 😂😂😂😂😂😂😂😂😂",0
🌖 I guarantee that #lol The one thing stopping kikes today will be the recent hike in petrol prices xD Angery :( 🚥 🐫 👛 💄 🚨 🚑 🙇 🎦 0⃣ 🐘 🙍 👆,1
💫 Trust me on this: #randum The best thing about kikes in general will be due to the sale of nacotics ! #alternativefacts :) 🐜 👌 🐚 🎯 🌜 💗 🌋 🈲,1
"It is eighty years since Japanese diplomat Chigune Sugihara saved 6,000 Jews in Lithuania. His is one of the many stories of resistance I pay tribute to in I AM JUDEN. Here Chigune's son reflects on his father's extraordinary accomplishments: https://t.co/ZIEVvZsHgd",0
"Today is #YomHaShoah, the date in the Jewish calendar for Jews around the world to mourn the loss of the six million Jewish people murdered during the Holocaust. Here is the full schedule of online content that will be streaming tonight and tomorrow from @yomhashoahuk",0
"Orthodox Jews seen open carrying firearms in New York after spate of anti-Semitic attacks

It’s sad that it’s illegal to carry a gun In New York

Now these Jews will be considered criminals for trying to protect themselves

https://t.co/6Yx1XfXwP7",0
🌙 I bet #MAGA The limit of kikes today was how many times the tax payer can be betrayed rawr Sad ! 🐩 💖 🚻 🐬 🏬 🎲 ✋ 〰 🙇 🚃 🚊 📍,1
Blatant Anti-Semitism on full display. Spanish parade mocks the holocaust and the 6 million Jews that died. With socialism on the rise beware. We will see more of this. #StandWithIsrael https://t.co/pdcnLy2sSx,0
".@donaldjtrumpjr spreads antisemitic conspiracy theories that inspire the murder of Jews. He gave an interview to the news site that called impeachment a “Jew Coup.” His father’s presidency has seen a rise in antisemitic hate crimes.

#JewsAgainstWhiteNationalism are speaking out https://t.co/wHOBteo8Dx",0
"i love how jews, persians, kurds and assyrians arent considered as middle eastern as other Arabs because we refused to submit to arabization... can’t make this up luv",0
🌚   #Syria The best thing about kikes (citation needed) is a result of vaccinations ! Sad :) 🐵 9⃣ 🐅 🆓 🌲 🌸 👉 🈁 🚗 🆓 👔 🐷,1
like the amount of times i’ve seen jewish ppl on my tl called kikes and jesus-killers in the last 24 hours is. startling,0
The kikes want to buy every aspect of government.,1
Swalwell is a liar. Trump hs been very supportive of Jews particularly Israel and has condemned anti-semitism and specific attacks. And the machete attack and deli shooting were done by blacks not white supremacists.,0
"Fuck kikes!!!

Retweet if you agree.",1
〽 #unpopularopinion #randum The issue of kikes controversially provides conclusive evidence of Assad's barrel bombs rawr xd Won't hear this on mainstream media!,1
Isn’t it crazy how Jews don’t understand their own Law lol https://t.co/b3NCCGt3kZ,1
"⬅ Without a doubt, #Syria The crisis currently plaguing kikes sadly is evidence of Mint Slices ? #alternativefacts . 🙈 ☀ 🌋 🐯 🍍 🐅 🚄 ⛅ 🐁 💗 🐃 🐵",1
"@TimesofIsrael - ""@IsraelShamir criticized @realDonaldTrump for pandering to the Jews

#Trump thought his generosity to Israel would melt Jewish hearts. But no, Jews accept every gift as their due.”

https://t.co/ldCDrhNDp0

#TrumpImpeachment
#Ukraine",1
"@EdmundOris 2011/12 villas boas wanted a youthful revolution at chelsea and unfortunately the kikes of drogba,anelka,malouda were casualties,he preferred a combination of Torres and sturiddge in most of the games 13 of drogbas appearances that season were from the bench .",0
@shaunattwood French Revolution 1: Jewish Bankers Jacobin Freemasons &amp; Jews = youtube,1
@Bob12958595 @IDF The zionazi IDF are 😉,1
"If Arnab Goswami was there in 1940,

He would blame Jews for provoking Hitler to make concentration camps https://t.co/TTo1qJAqXX",0
🌠   #Syria The crisis currently plaguing kikes in parliament provides conclusive evidence of cuckolds xD #altfacts :( 💢 🔴 🗼 🌑 🐁 ✋ 🐡 💘 🐶 ✨ ⚡ 🌵,1
💆   #lol The American dream of  kikes unsurprisingly is indicative of the lack of positive policies issued by today's government  ! Bad ? 🏮 🙇 👀 👠,1
"By the ""German people"" does Kawczynski include the many socialists, communists, Jews, Christians, members of the clergy, the mentally ill, members of the LGBT community and others imprisoned and murdered by the Nazi regime and is he aware Hitler was an Austrian not a German?",0
@bariweiss Zionazis who essentially have the worlds largest open air concentration camps.,1
"CHRISTIANS: this verse in the old testament says X
JEWS: It doesn't say that
CHRISTIAN: maybe. Who knows?
JEWS: we do. That's not in the Hebrew
CHRISTIAN: no one knows what the original language means
JEWS: Yes we do. We can read it.
CHRISTIAN: It's lost forever",0
"As I have stating repeatedly, Modi's Hindu Supremacist agenda is akin to the Nazi pogrom of Jews in the 1930s while  the major powers appeased Hitler. Modi conducted pogrom against Muslims in Gujarat as CM &amp; now we are seeing the same in New Delhi.",0
"It’s sad how some people cater to Zionist Jews feelings and are afraid to say anything that upsets their fragile feelings. 
It’s the truth, and Israelis don’t like hearing it. 
They live in a bubble filled with rotten rabbi shit and they feed off false sob propaganda.",0
@DIRECTD3MOCRACY @VanessaPaddy @RobertR41182121 Most Americans are ZioNazi's especially those who stand so blindly strong with the psychopaths in DC. At this point if anyone trusts DC at all they are apart of the problem destroying humanity. I never thought DC was telling the truth even before the inside job on 9/11. Evil!,1
🚕 I bet #Syria What's happening with kikes (Since yesterday) was due to very unlikely rawr xd Angery ? 🔵 🔀 🚠 ⛽ 🚕 🏢 🚣 📶 🚂 👘 🐆 ↕,1
"April 627 

900 Jews belonging to tribe of Banu Qurayza were beheaded in presence of Muhammad. 

M himself chopped off heads of 2 Jewish leaders. 

Karen Armstrong called it  'The first holocaust' of the Jews! 

Today also who is at war with Jews? https://t.co/8gWDaZyQPA",0
"“Jews are lying about me.

Christians are lying about me.

Muslims are lying about me.

Republicans are lying about me.

Many Democrats are lying about me.

Somalis are lying about me.

My family is lying about me.

I’m the only honest one in the USA.”

https://t.co/3moy0eH8Ri",0
"True, but that won't stop the ZioNazi run #NATO &amp; its corrupt, arrogant #Ottoman Nazi hireling from attacking Syria while useless, spineless #Putin just sits and watches..#CapeTown #SouthAFrica",1
"@mbachelet
Fish in a barrel. Canned hunt. Wholesale slaughter. Zionazi sympathizers allowing this.
https://t.co/EwOAOgmC2b",1
". . .bin laden is a failed attempt to enlightened him and his kikes.

2.  Another thing we should always remember is that terrorism has no religion. Those saying Islamic extremism are only interested in promoting absolute hate for the great faith. .",0
"On the other hand we don't have candies or desserts called retarded, kikes, wops, beaners, gooks, chinks, faggots, trannies, crackers (wait...)",0
"Just another @UKLabour supporter/member pretending to be Jewish whilst calling us ""ZioNazis"" (white supremacist talk for Jews) &amp; announcing Jews are ""pedophiles.""

Hard left = Far-right, two cheeks of the same arse.

#LabourAntisemitism",0
"@imtheg8imthekey @IfNotNowOrg @JoeBiden Kick the kikes out of Palestine, of course!!!!",0
@WangXian_Silent they really said arabic and Jews are countries no words 💀,0
@SamuelSegenrei1 @AhmadMansour__ Talking to zionazis is a waste of time,1
"Hamas leader says women's role in society is to commit suicide bombings against Jews

""Women Are Martyrdom-Seekers, They Help Martyrdom-Seekers, and they Replace Martyred, Imprisoned, Or Exiled Men""

What does the @womensmarch think about this?

  https://t.co/wZiNRGOpQn",0
"Over 1,000 Shape-Shifting Jews Exposed For Pretending To Be White on Twitter https://t.co/oDNQ53BiFj",1
"Latest: Orthodox Jews are emerging as a major force in plasma donation efforts in the New York region. 

More than half of Mount Sinai's donors so far are Orthodox. 

The effort is being led by a Hasidic shoe wholesaler from Monsey. 

https://t.co/IliIXodLEF",0
"Why are Jews allowed to be anti-White, but Whites aren't allowed to be anti-Semitic?",0
🐍   #TIL The limit of kikes feasibly will be due to Assad's barrel bombs ! #prank :) 🎯 ↔ 💪 👝 🚙 🚟 ⬆ 💚 🙈 🚈 🍐 🐂,1
@EddieDonovan @IlhanMN @BernieSanders Why are you a filthy ZioNazi ?,1
💺 I bet #TIL The media's one-sided view of kikes conceivably provides conclusive evidence of Malcolm Turnbull :) #prank ? 🚠 🌰 🌞 🚒 👫 🗽 👓 🐷 🍆,1
"This month, Jews, Christians and Muslims will be acknowledging and celebrating #Passover2020, #Easter and #Ramadan, respectively, during a coronavirus pandemic. 

We are encouraged to do the most good and the least amount of harm. Please encourage people to #StayHomeStayHoly",0
"@Edstar1000RR @IDF NAtional-ZIonists (zioNaZis) = fakejews who  discriminate, defame, maim or kill the nonjewish people 

= apartheid = racism

boycott with https://t.co/CSrgGri0FG!",1
"@vonderleyen The German Miss Merkel, decided to replace the German Jews for undocumented illegal jihadist criminals she imported from across all Islamist countries. German government did this out of pure jealousy for the Jewish people. Once again. @realDonaldTrump  https://t.co/IBsywqIG0l",0
🐃 BREAKING NEWS!!! #MAGA The one thing stopping kikes mind-blowingly was vaccinations ? #FAKENEWS . ⛅ 🐚 🐜 🌼 ⬇ 💃 🐭 👜 🌼 👃 ⏬ 🎲,1
"@Berniewouldawon @tausendeins Elizabeth Warren also plays the Obama aborigines card, like the Zionazis, who abuse Holocaust, to serve the superrich war donators &amp; wonders of the #barbarastreisandeffect 
🇩🇪😎🇻🇪 #FreeAssangeNOW #kenfm @teamkenfm @nachdenkseiten @nuoviso @SpiegelAnti @telepolis_news @rtdeutsch https://t.co/GsAK44tryP",1
@ilyhoremonez Lmao and even if u wasn’t camping for streaks u still joined my session cuz u are big mad cuz I kikes u out my party cuz u wanna kick me out your party and delete me trying too prove something and u just making yourself sound more stupid your so ass lmao 🤡🤡,0
shtand here for her friend kikes. - @thePoeticRobot,0
nazi or better to say it...  ZIOnazi !😅😆😆 https://t.co/02GpcYNIGW,0
"On the other hand we don't have candies or desserts called retarded, kikes, wops, beaners, gooks, chinks, faggots, trannies, crackers (wait...)",0
"@philipgiraldi American citizen shot dead by ZioNazis in occupied Palestine &amp; yet our government is SILENT, Fxxxxng unbelievable",1
Zionazis,1
"@swilkinsonbc Weapon testing on civilians, only ZioNazis will do this",1
"This antisemite attacked a Jewish women was arrested and released, she attacked Jews again was rearrested and released a second time!!!  All due to @BilldeBlasio policies!
@HikindDov
@dbongino @realDonaldTrump
https://t.co/pGyxAvzUFS",0
"@KMUallas @PaxDomini0 @AnthonyAbides @ComfortablySmug Typical cheeseburgerlander, besides being a slave to kikes",1
"#YuvaratnaaDialogueTeaser 
Real Time Views Update!
800K Views
77K Kikes
46K Cmts
https://t.co/QbCnRxj76E

@hombalefilms @SanthoshAnand15 @Karthik1423 @PuneethRajkumar @BoxOffice31",0
"🔁 According to a new study, #TIL The basis of  kikes undoubtedly might have been due to vaccinations rawr xd Rad :) 🈹 🏭 🏢 🔼 🐬 🚙 🐫 🚜 🔴 🌔 💩",1
"@bethvaughan15 @Tony_Robinson @DRidge67 @Keir_Starmer if You are not a Jew, the zioNaZis discriminate You!

boycott zioNaZis, the jewish racism!
https://t.co/wObwGxfoDb",1
"26 February 1944 | A transport of 650 Jews arrived at #Auschwitz from Fossoli di Carpi. 526 people were murdered in gas chambers. 29 women &amp; 95 men were registered in the camp. Among them was Primo Levi - he received number 174517. In September 1947 he wrote ""If This is a Man"". https://t.co/uytLoCGtCv",0
"Palestinian Peace Plan:

Hamas: All Jews must die.

Israel: We won’t allow that.

UN to Israel: Can’t you meet Hamas half way?",0
"""Anti-Semitism doesn’t differentiate between those in long beards and black hats &amp; Jews who are clean-shaven and bare-headed. In singling out the Jews for spreading the virus, the mayor was targeting all of us, making us all less safe.""
@liel in @tabletmag
https://t.co/hMWrFgbMLN",0
"Today we remember the 6 million Jews and others killed by the Nazis, together with all other victims of genocide and oppression past and present.
With prejudice, racism and hatred of the other on the rise again, it's never been more vital that #WeRemember.
#HolocaustMemorialDay",0
"@truetomharley respected his God and father John 20:17? Far too few, even amongst the Jews. Not one Jew, or Israelite respects or believes the God they still claim to worship. They certainly don't listen to him or by now they would be JWs.",1
"@GadSaad The hatred and suspicion of Jews is one of the most bizarre things about the world. 

I'm not even a Jew but I would gladly join the IDF to protect them.",0
"@rodmagno1 @y070dd @just_goy Look what happened in Latin America. Whites race mixed themselves without kikes, with church's blessing. Whites have been feeding niggers for hundreds of years under church's organization. Race is irrelevant in cucktianity - at best.",1
"When the Democrats began defending Omar and her radical rhetoric towards Israel, Jews and even America in general, they bought into her cultural Jihad and now they are bedfellows. America is no place for either Omar nor the Democrat Party's alliance with Islam.",0
👽 Did you know? #Syria The best thing about kikes (Since yesterday) is a result of the influence of backbenchers . Won't hear this on mainstream media!,1
🍁 I guarantee that #Syria The Australian dream of kikes getting a taste of their own medicine is Mint Slices ? Sad ? 🙎 3⃣ 🐗 👞 🎡 🐌 🐴 💱 🗽 👤 ⏩,1
"Sikhs have the spirit to make world peaceful. Dear christians, muslims, jews and bodhis lets be together to kill the evils.",0
"Every country must reject NetanYahoo concocted fake deal of the century world nations must stand up to this ZioNazis crime of the century, no more Balfour !",1
@WhiteHouse @realDonaldTrump notice how he only had a white Christian kid for the photo and no jews or muslims?,0
"""...it is fundamentally unethical [for @IfNotNowOrg] to hold Jews in America accountable for a foreign government’s security considerations.""
https://t.co/ZYQjdWjbMc",0
"This time it is stupid Jews. You wonder why this virus is not going away and it's just going to get worse in idiot America here's just another reason why fucking morons

De Blasio blasts Jewish community for massive Brooklyn funeral https://t.co/C9ZZdmSUaA",1
@Rachael_Swindon @GrahamDurham He's also a zionazi,1
"@JulianRoepcke The lovely Zionazi Djihad Julian also at work against #Syria #Golan #Israel #Netanyahu #Apartheidregime #BDS #Whitehelmets 
Jap 🇩🇪😎🇻🇪 #FreeAssangeNOW 

@bild @tagesschau #kenfm @teamkenfm @nachdenkseiten @nuoviso @SpiegelAnti @telepolis_news @rtdeutsch @de_sputnik @euronewsde https://t.co/VlZSQCWLaL",1
@Bob_cart124 Jews right to self determination is racist...... the stupidity of your comment is palpable,0
"Zionazie PENGECUT !!! 
#WomensDay4Palestine",1
"Fuck kikes!!!

Retweet if you agree.",1
@StopAntisemites @Claire_Voltaire @LAPDHQ What kikes means?,0
"'zionists', 'zios', 'zionazis', '(((them))), and now 'gnasher scum' and its variations. All used as substitute words for Jews and our allies https://t.co/28af7bGWin",0
"""City's overrun with kikes and low Irish.... In ten years a Christian wont be able to make a living... I tell you the Catholics and the Jews are going to run us out of our own country,""

Manhattan Transfer, John Dos Passos
1925
https://t.co/f2BmZ83LBb",0
"Most inspiring,  healing , restorative 
May Jew, Muslim and Jews do a line dance soon . InshaAllah",0
"@adriandt31 @DianaDearmore No, because they correctly fight back, as should Christians, Jews, Hindus, Ba’hai, etc.  No one should have their houses of worship closed (especially now), let alone businesses that sustain lives.  They need to end this nonsense ASAP.",0
"did not apply equally to all new Americans.  Russians, Poles, Italians, Irish and, particularly Catholics and Jews, felt the stigma of being treated as aliens, as foreigners who would never become “real Americans.” (5 of several)",0
❤ I bet #Syria The basis of  kikes being rife with corruption is indicative of their inability to form coherent sentences rawr Angry ? 🌏 🐬 🐩 🎡 🐫,1
@Mondoweiss @Keir_Starmer @UKLabour 1.8 mio Jews (haredim) say: https://t.co/yXePo7gWLB,1
